Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R650,22Ω,R_0402,130.6,-78.6,90.0,top
R651,22Ω,R_0402,129.55,-78.6,90.0,top
R655,10kΩ,R_0402,132.15,-78.1,0.0,top
R699,10kΩ,R_0402,134.15,-78.1,180.0,top
SW603,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,141.1,-70.8,0.0,top
U202,BQ25792RQMR,QFN-29_L4.0-W4.0-P0.40-TL-BQ25792RQMR,150.665,-120.188702,0.0,top
U401,ZX-RF-1-Z21.25X,IPEX-SMD_3P-L2.6-W2.6-LS3.0_YUANDI_RF-001,149.9,-67.0325,180.0,top
U402,ZX-RF-1-Z21.25X,IPEX-SMD_3P-L2.6-W2.6-LS3.0_YUANDI_RF-001,164.3,-105.8325,180.0,top
U403,A7672E (LASE),LGA-124_L24.0-W24.0-P1.0-A7670C-LASS,153.5,-90.5,0.0,top
U404,ESDBW5V0A1_C5173252,X1-DFN1006-2_L1.0-W0.6-P0.65-BI,161.2,-71.8,-90.0,top
U405,ESP32-C6-MINI-1-N4,WIFIM-SMD_61P-L16.6-W13.2-P0.80-ESP32-C6-MINI-1-N4,129.6,-71.07,0.0,top
U406,SC7A20HTR,LGA-12_L2.0-W2.0-P0.50-TL,137.7725,-115.073702,180.0,top
U407,LTR-303ALS-01,TDFN-6_L2.0-W2.0-P0.65-BL,132.9,-91.7,0.0,top
U602,GD25Q128ESIGR,SOP-8_L5.3-W5.3-P1.27-LS8.0-BL,134.8,-96.205,90.0,top
U603,RT9080-33GJ5,TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,140.35,-66.75,90.0,top
U604,ATECC608B-SSHDA-T,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,129.3,-115.1825,90.0,top
