device_id,ts,seq,boot_id,received_at,ingest_via,sig,prev_hash,rec_hash,vbat_mv,ibat_ma,soc_pct,vbus_mv,ibus_ma,vsys_mv,chg_stat,fault0,fault1,harvest_mah,solar,usb,light_ch0,acc_x_mg,acc_y_mg,acc_z_mg,temp_c,extra,p_gas_hpa,dp_hpa,uss_tof_us,uss_dtof_us,uss_vol_ml,uss_snr_db,uss_seq,uss_code,uss_recov,sensor_ok,quality,quality_note,uss_s0,uss_s1,uss_skip
4,2026-09-23 09:07:50+02:00,,,2026-09-23 09:24:51.550720+02:00,mqtt,,,,3668,0,40,0,0,,0,,,0,False,False,9,-108,28,1036,21.5,,968.3,3.3,132.9241,0.001541,307950,33.0,62300,122,0,63,0,,,,
4,2026-09-23 09:12:51+02:00,,,2026-09-23 09:24:51.550720+02:00,mqtt,,,,3668,0,40,0,0,,0,,,0,False,False,9,-96,36,1044,21.6,,968.3,3.3,132.8708,0.005798,351324,34.5,62598,122,0,63,0,,,,
4,2026-09-23 09:17:52+02:00,,,2026-09-23 09:24:51.550720+02:00,mqtt,,,,3668,0,40,0,0,,0,,,0,False,False,8,-96,32,1048,21.64,,968.4,3.4,132.8354,0.007981,392556,34.5,62896,122,0,63,0,,,,
4,2026-09-23 09:22:53+02:00,,,2026-09-23 09:24:51.550720+02:00,mqtt,,,,3669,0,41,0,0,,0,,,0,False,False,9,-120,24,1044,21.72,,968.4,3.4,132.8321,0.008545,432859,33.5,63194,122,0,63,0,,,,
4,2026-09-23 09:25:00+02:00,,,2026-09-23 09:24:51.550720+02:00,mqtt,,,,3668,0,40,0,0,,0,,,0,False,False,7,-132,40,1008,21.71,,968.4,3.4,132.9047,0.001882,453727,35.0,63319,122,0,63,0,,,,
4,2026-09-23 09:30:24+02:00,,,2026-09-23 11:13:18.574382+02:00,mqtt,,,,3668,0,40,0,0,,0,,,0,False,False,7,-112,52,1056,21.79,,968.4,3.4,132.8528,0.00143,476932,31.0,63641,122,0,63,0,,,,
4,2026-09-23 09:35:25+02:00,,,2026-09-23 11:13:18.574382+02:00,mqtt,,,,3668,0,40,0,0,,0,,,0,False,False,8,-112,44,1028,21.82,,968.5,3.5,132.8882,-0.000385,507549,34.5,63938,122,0,63,0,,,,
4,2026-09-23 09:40:26+02:00,,,2026-09-23 11:13:18.574382+02:00,mqtt,,,,3668,0,40,0,0,,0,,,0,False,False,8,-112,32,1032,21.87,,968.6,3.6,132.7883,-0.00079,546522,33.0,64237,122,0,63,0,,,,
4,2026-09-23 09:45:27+02:00,,,2026-09-23 11:13:18.574382+02:00,mqtt,,,,3668,0,40,0,0,,0,,,0,False,False,7,-120,20,1024,21.9,,968.6,3.6,132.8538,-0.000677,571869,33.0,64535,122,0,63,0,,,,
4,2026-09-23 09:50:28+02:00,,,2026-09-23 11:13:18.574382+02:00,mqtt,,,,3668,0,40,0,0,,0,,,0,False,False,7,-108,24,1044,21.98,,968.7,3.7,132.7911,0.005671,572601,33.5,64833,122,0,63,0,,,,
4,2026-09-23 09:55:29+02:00,,,2026-09-23 11:13:18.574382+02:00,mqtt,,,,3668,0,40,0,0,,0,,,0,False,False,7,-84,36,1036,22.01,,968.7,3.7,132.8335,0.002869,595939,32.0,65130,122,0,63,0,,,,
4,2026-09-23 10:00:30+02:00,,,2026-09-23 11:13:18.574382+02:00,mqtt,,,,3669,0,41,0,0,,0,,,0,False,False,7,-104,28,1080,22.06,,968.7,3.7,132.7588,-7e-05,609474,33.0,65429,122,0,63,0,,,,
4,2026-09-23 10:05:31+02:00,,,2026-09-23 11:13:18.574382+02:00,mqtt,,,,3668,0,40,0,0,,0,,,0,False,False,7,-104,40,1036,22.08,,968.7,3.7,132.7548,0.002938,638453,33.5,190,122,0,63,0,,,,
4,2026-09-23 10:10:32+02:00,,,2026-09-23 11:13:19.461621+02:00,mqtt,,,,3668,-1,40,0,0,,0,,,0,False,False,7,-116,36,1048,22.1,,968.6,3.6,132.7802,0.00283,669278,33.0,488,122,0,63,0,,,,
